title,description,coordinates,phoneNumbers,url
FEMME SANS LIMITE POUR SERVIR,,,[],https://www.goafricaonline.com/ci/67747-femme-sans-limite-servir-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
FENAVIPELCI,,"A côté de la Mairie, Imm Dosso - MairieAboboAbidjan - Côte d’Ivoire","[""+225 07 08 74 25 58"",""+225 05 05 92 00 19"",""+225 01 41 85 98 89""]",https://www.goafricaonline.com/ci/470002-fenavipelci-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
FENOSC-DJP,"Nos domaines d'intervention: 
- Développement et bien-être social; 
- Justice et État de droit; 
-Paix et cohésion sociale.",Toit RougeYopougonAbidjan - Côte d’Ivoire,"[""+225 225 02 00 19 51""]",https://www.goafricaonline.com/ci/568893-fenosc-djp-organisations-non-gourvernementales-abidjan-cote-d-ivoire
FHI 360 (FAMILY HEALTH INTERNATIONAL),,,[],https://www.goafricaonline.com/ci/361991-fhi-360-organisation-non-gouvernementales-ong-abidjan-cote-ivoire
FONDATION AGUIB TOURE,,"Avenue 25, Rue 38TreichvilleAbidjan - Côte d’Ivoire","[""+225 27 23 59 29 71""]",https://www.goafricaonline.com/ci/597228-fondation-aguib-toure-organisation-non-gouvernementales-abidjan-cote-ivoire
FONDATION AMADOU HAMPATE BA,,"11, Rue des Cannas, près de la Pharmacie Danga - DangaCocody - 08 BP 3543 Abidjan 08Abidjan - Côte d’Ivoire","[""+225 27 22 44 33 85"",""+225 27 22 44 34 52""]",https://www.goafricaonline.com/ci/67927-fondation-amadou-hampate-ba-organisations-non-gouvernementales-abidjan-cote-ivoire
FONDATION AMIGO COTE D'IVOIRE,,Centre Amigo Doumé - Niangon LokoaYopougon - 31 BP 113 Abidjan 31Abidjan - Côte d’Ivoire,"[""+225 05 05 92 27 90""]",https://www.goafricaonline.com/ci/136218-fondation-amigo-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
FONDATION AMLANKA,,,[],https://www.goafricaonline.com/ci/677463-fondation-amlanka-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
FONDATION CHILDREN OF AFRICA,"Ils ont droit à la santé, à l'éducation, à un avenir meilleur",,[],https://www.goafricaonline.com/ci/61291-fondation-children-africa-ong-abidjan-cote-ivoire
FONDATION CHRETIENNE POUR LE DEVELOPEMENT,,,[],https://www.goafricaonline.com/ci/101667-fondation-chretienne-developement-ong-bouake-cote-ivoire
FONDATION DES FILS ET DES FILLES D'AGBAOU POUR LE DEVELOPPEMENT-F3ADD,"Collecter, mettre ensemble et gérer des ressources financières ou en nature pour mettre en œuvre des projets de développement d’intérêt général, au bénéfice du village d’Agbaou pour son développement social, économique, culturel et environnemental en vue d’améliorer les conditions de vie de la population d’Agbaou sans distinction de sexe, d’appartenance politique, de religion, d’origine ou de tout autre élément discriminatoire.",AgbaouAkoupé - Côte d’Ivoire,"[""+225 07 08 55 89 04""]",https://www.goafricaonline.com/ci/624324-f3add-organisations-non-gouvernementales-ong-akoupe-cote-ivoire
FONDATION DIPHITA,,,[],https://www.goafricaonline.com/ci/659111-fondation-diphita-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
FONDATION GLOBAL PISCINE,"Nous sommes une fondation qui contribue à l’amélioration de la qualité de vie des populations sur le territoire ivoirien dans le domaine de la santé, de l’éducation et du développement communautaire.","Groupement 4000, AngréCocody - 27 BP 425 Abidjan 27Abidjan - Côte d’Ivoire","[""+225 25 22 00 42 79"",""+225 07 07 29 35 92""]",https://www.goafricaonline.com/ci/74475-fondation-global-piscine-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
FONDATION LES AILSES DU SAVOIR,Bienvenue sur la page officielle de l'ONG Ailes du Savoir. La Fondation les Ailes du Savoir est une ONG internationale de bienfaisance et d'entraide pour les couches défavorisées de la population. Notre Devise: Servir - Partager - Participer.,"80 lgts, St Michel,AdjaméAbidjan - 01 BP 4812 Abidjan 01 - Côte d’Ivoire","[""+225 27 20 37 21 81"",""+225 07 89 76 05 25""]",https://www.goafricaonline.com/ci/576934-fondation-ailes-savoir-ong-abidjan-cote-ivoire
FONDATION NOGBOU DORETTE,,Face Ste Cécile - Deux-plateaux - VallonCocody - 01 BP 3029 Abidjan 01Abidjan - Côte d’Ivoire,"[""+225 27 22 50 51 47"",""+225 27 22 52 74 85"",""+225 07 57 64 79 64""]",https://www.goafricaonline.com/ci/283984-fondation-nogbou-otganisation-non-gouvernemental-abidjan-cote-ivoire
FONDATION SOUNDELE KONAN,Protection de la faune et de la flore,"2 Plateaux, carrefour DuncanCocodyAbidjan - Côte d’Ivoire","[""+225 07 07 58 63 86"",""+225 07 07 35 55 12""]",https://www.goafricaonline.com/ci/361553-fondation-soundele-konan-organisations-non-gouvernementales-abidjan-cote-ivoire
FTE (FONDATION TERRE D'ESPERANCE),,,[],https://www.goafricaonline.com/ci/76113-fte-fondation-terre-esperance-organisations-non-gouvernementales-abidjan-cote-ivoire
GENERATION FEMME DU 3EME MILLENAIRE-GFM3,"Organisation humanitaire visant le développement inclusif et durable à travers l'amélioration des conditions de vie des femmes , des jeunes et des enfants en milieu urbain et péri urbain. Education pour tous , systématisation du genre et  droits des femmes, santé pour tous ,  nutrition et développement de la petite enfance, Eau , hygiène et assainissement, environnement , mobilisation communautaire, formation et renforcement des capacités …","Deux Plateaux, Les PerlesCocody - 27 BP 283 ABJ 27Abidjan - Côte d’Ivoire","[""+225 27 22 52 20 65"",""+225 07 77 13 62 73"",""+225 07 57 93 71 69"",""+225 07 07 34 92 57""]",https://www.goafricaonline.com/ci/624646-gfm3-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
GIABA (GROUPE INTERGOUVERNEMENTAL D'ACTION CONTRE LE BLANCHIMENT D'ARGENT EN AFRIQUE DE L'OUEST),,,[],https://www.goafricaonline.com/ci/498863-giaba-organisation-non-gouvernemental-abidjan-cote-ivoire
GRADE,"Produire des jeunes élites  au service du développement économique et social de l’Afrique. 
Nos Objectifs: Sensibiliser et former les jeunes à l'entrepreneuriat, coacher les jeunes porteurs de projets, Initier des programmes de développement et de promotion des jeunes talents...",Non loin de la Clinique Sainte Famille - Riviera 3Cocody - 01 BP 1480 Abidjan 01Abidjan - Côte d’Ivoire,"[""+225 05 85 96 93 15""]",https://www.goafricaonline.com/ci/394101-grade-organisations-non-gouvernementales-ong-abidjan-cote-dvoire
GRAIN DE SOLEIL,Grain de soleil est une association dont l'objectif est d'apporter un petit bout de bonheur aux familles démunis à travers des dons et évènements caritatifs.,SopimKoumassiAbidjan - Côte d’Ivoire,"[""+225 05 04 12 66 86"",""+225 07 59 36 50 17""]",https://www.goafricaonline.com/ci/572409-grain-soleil-ong-abidjan-cote-ivoire
GRAINES DE PAIX CI,,Carrefour CI Telecom - Angré 7è trancheCocodyAbidjan - Côte d’Ivoire,"[""+225 27 22 52 21 06"",""+225 07 07 99 19 60""]",https://www.goafricaonline.com/ci/363202-graines-paix-ong-abidjan-cote-ivoire
GREEN PROJECT,GREEN PROJECT AFRICA est une ONG exerçant ses activités en Afrique. Notre objectif est de mettre en valeur les ressources naturelles du continent en impliquant les acteurs locaux par des projets responsables et financièrement viables.,"Zone 4C, BietryMarcoryAbidjan - Côte d’Ivoire","[""+225 27 21 24 43 09"",""+225 27 21 24 43 12""]",https://www.goafricaonline.com/ci/571982-green-project-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
HABITAT FOR HUMANITY,,"2 Plateaux, DUNCAN, Cité les Lauriers V - Deux-plateaux - VallonCocody - 09 BP 4092 Abidjan 09Abidjan - Côte d’Ivoire","[""+225 27 22 41 97 75""]",https://www.goafricaonline.com/ci/93097-habitat-humanity-organisations-non-gouvernementales-abidjan-cote-ivoire
HAVEN ONG,,"Route face à Jules verne, Pharmacie des citésTreichvilleAbidjan - Côte d’Ivoire","[""+225 01 52 82 55 55"",""+225 07 58 67 40 11"",""+225 05 78 48 50 71""]",https://www.goafricaonline.com/ci/602072-haven-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
HCC-PME,,,[],https://www.goafricaonline.com/ci/110928-hcc-pme-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
HELPIVOIRE,"Helpivoire est une ONG s'inscrivant du milieu agricole pour la lutte, Contre toute irrégularité du dit milieu. Elle prend en compte tous les agriculteurs de la côte d'ivoire.",Non loin de l'église catholique Jubilié - Angré 8è trancheCocodyAbidjan - BP 89 - Côte d’Ivoire,"[""+225 07 08 51 77 46"",""+225 01 71 06 15 47""]",https://www.goafricaonline.com/ci/575106-helpivoire-organisations-non-gouvernementales-agriculture-abidjan-cote-ivoire
HOPE COTE D'IVOIRE,"Lutte contre le paludisme et la pauvreté
Prévention contre le VIH/SIDA
Soins et soutien aux OEV
Soins paliatifs
Education
Prise en charge des PVVIH",SIDECI-COOP cité derrière Latrille Event Villa 563 (carrefour Las palmas) - Deux-plateaux - SideciCocody - 06 BP 1021 cidex 1 Abidjan 06Abidjan - Côte d’Ivoire,"[""+225 27 22 52 58 15"",""+225 27 22 52 58 19""]",https://www.goafricaonline.com/ci/552126-hope-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
ICTJ (INTERNATIONAL CENTER FOR TRANSITIONAL JUSTICE),,En face de la Résidence Edouard - Deux-plateaux - VallonCocody - 28 BP 74 Abidjan 28Abidjan - Côte d’Ivoire,"[""+225 27 22 42 63 31""]",https://www.goafricaonline.com/ci/99288-ictj-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
IECD (INSTITUT EUROPEEN DE COOPERATION ET DE DEVELOPPEMENT),,Carrefour Djedje Mady - Riviera BonouminCocody - 06 BP 2086 Abidjan 06Abidjan - Côte d’Ivoire,"[""+225 01 52 10 81 08"",""+225 01 02 40 02 25""]",https://www.goafricaonline.com/ci/61993-iecd-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
IKAM ACTION SANITAIRE,,,[],https://www.goafricaonline.com/ci/370856-ikam-action-sanitaire-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
IMPACTUM AFRICA,,Près de la Pharmacie Les Lauréades - Angré 7è trancheCocodyAbidjan - Côte d’Ivoire,"[""+225 27 22 52 59 54""]",https://www.goafricaonline.com/ci/501903-impactum-africa-organisations-non-gouvernementales-abidjan-cote-ivoire
INDIGO COTE D'IVOIRE,,-22 BP 288 Abidjan 22Abidjan - Côte d’Ivoire,"[""+225 25 20 00 05 64""]",https://www.goafricaonline.com/ci/593517-indingo-organisations-gouvernementales-ong-abidjan-cote-ivoire
INSTITUT DE CIVILISATION NOIR,,1er Feu - Plateau DokuiCocodyAbidjan - Côte d’Ivoire,"[""+225 07 07 57 10 11""]",https://www.goafricaonline.com/ci/99330-institut-civilisation-noir-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
INTERNAT LIMANYA,Association Humanitaire,NimboBouaké - Côte d’Ivoire,"[""+225 27 21 35 39 92"",""+225 07 07 99 12 27""]",https://www.goafricaonline.com/ci/101457-internat-limanya-ong-bouake-cote-ivoire
IPA (INNOVATIONS FOR POVERTY ACTION),,"Val doyen, ilot 14, Lot. 77, porte 167Cocody - 16 BP 427 Abidjan 16Abidjan - Côte d’Ivoire","[""+225 27 22 48 05 92""]",https://www.goafricaonline.com/ci/594987-ipa-ong-abidjan-cote-ivoire
IPPF (BUREAU REGIONAL AFRIQUE),"IPPF est une ONG International oeuvrant dans le domaine des Droits en Santé Sexuelle et Reproductive. Elle est representée en Cote d'Ivoire par son Association Membre en Cote d'Ivoire, l'AIBEF.",Bd VGE01 BP 5315Abidjan - Côte d’Ivoire,"[""+225 27 21 21 80 80""]",https://www.goafricaonline.com/ci/579251-ippf-bureau-regional-afrique-ong-abidjan-cote-ivoire
IRAA (INSTITUT DE RECHERCHE ET D'ACTIONS EN AFRIQUE),"L’Institut de Recherche et d’Actions en Afrique (IRAA) est une ONG de droits ivoiriens à but non lucratif et apolitique. Il intervient dans les domaines suivants : Santé, Education, Culture, Environnement, Protection des enfants et des femmes, développement durable et de la Recherche-Action.","Cité Abri 2000, Emeraude 4, secteur 3 - Riviera BonouminCocody - 06 BP 6385 Abidjan 06Abidjan - Côte d’Ivoire","[""+225 27 22 46 83 77"",""+225 07 49 23 77 52""]",https://www.goafricaonline.com/ci/363009-iraa-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
IRC CI (INTERNATIONAL RESCUE COMMITEE),,,[],https://www.goafricaonline.com/ci/100791-irc-ong-yamoussoukro-cote-ivoire
IRC CI (INTERNATIONAL RESCUE COMMITEE),,"lot 3060, ilot 253 - Angré 7è trancheCocody - 27 BP  705 Abidjan 27Abidjan - Côte d’Ivoire","[""+225 27 22 52 30 50"",""+225 27 22 42 97 49""]",https://www.goafricaonline.com/ci/76540-irc-ong-abidjan-cote-ivoire
ITAD,Conseil dans le domaine de l'agriculture,,[],https://www.goafricaonline.com/ci/100785-itad-ong-bouake-cote-ivoire
JCI ABIDJAN IVOIRE,"La Jeune Chambre Internationale Abidjan Ivoire (JCI-AI) à l'instar de la JCI est une organisation mondiale des jeunes citoyens actifs dont  l'âge est compris entre 18-40 ans et qui a pour mission "" d'offrir aux jeunes, des opportunités de développement en donnant la capacité de créer des changements positifs "".",En face de SEEN HôtelPlateauAbidjan - Côte d’Ivoire,"[""+225 07 08 47 42 85"",""+225 07 49 25 81 31"",""+225 07 07 83 04 05""]",https://www.goafricaonline.com/ci/577014-jci-organisations-gouvernementales-ong-abidjan-cote-ivoire
JOURDAIN JERICHO,,Angré terminus 81-82 - Angré 8è trancheCocodyAbidjan - Côte d’Ivoire,"[""+225 07 07 42 09 83"",""+225 01 01 50 44 11""]",https://www.goafricaonline.com/ci/90827-jourdain-jericho-ong-abidjan-cote-ivoire
KENEYA SIRA,,Lot 85 - ChamprouxMarcory - 11 BP 2224 Abidjan 11Abidjan - Côte d’Ivoire,"[""+225 27 21 26 77 75"",""+225 07 07 46 51 74""]",https://www.goafricaonline.com/ci/93203-keneya-sira-organisation-non-gouvernementale-abidjan-cote-ivoire
KIC4A (KNOWLEDGE AND INFORMATION COMMUNITY FOR AFRICA),"KIC4A est une ong apolitique, non confessionnelle et à but non lucratif. Notre objectif est de créer une plateforme communautaire d’information et de formation pratiques des entrepreneurs, des porteurs de projet et tous ceux qui désirent créer une activité .",Angré 7ème TrancheCocody - 20 BP 725 Abidjan 20Abidjan - Côte d’Ivoire,"[""+225 07 67 81 98 38"",""+225 05 04 47 94 91"",""+225 07 59 34 75 64"",""+225 07 77 13 31 44""]",https://www.goafricaonline.com/ci/464415-kic4a-organisations-non-gouverementales-ong-abidjan-cote-ivoire
KS MA MAISON,,,[],https://www.goafricaonline.com/ci/93778-ks-ma-maison-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
L'ORGANISATION AFRICAINE POUR LA DEFENSE DES DROITS DE L'HOMME ET LA REHABILITATION SOCIALE (OADHORES),"Depuis plus de 10 ans, l'organisation Africaine pour la défense des Droits de l'Homme et la Réhabilitation Sociale (OADHORES) œuvre pour la promotion et la défense des droits de l'homme, le développement de nouvelles valeurs morales et citoyennes ainsi que l'amélioration des conditions de vie des vulnérables",Quartier Cocody-Mermoz - CentreCocodyAbidjan - Abidjan 13 BP 1763 - Côte d’Ivoire,"[""+225 01 40 28 12 92""]",https://www.goafricaonline.com/ci/573758-oadhores-ong-abidjan-cote-ivoire
LA COMMUNAUTE INFORMATIQUE DE COTE D'IVOIRE,,Derrière l'INJS - GFCIMarcoryAbidjan - Côte d’Ivoire,"[""+225 25 21 01 55 58"",""+225 05 54 03 21 83""]",https://www.goafricaonline.com/ci/371159-communaute-informatique-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
LA VEUVE ET L'ORPHELIN,L’ONG la veuve et l’orphelin est une organisation non gouvernementale qui viens en aide aux veuves et aux orphelins dans le besoin.,YopougonAbidjan - Côte d’Ivoire,"[""+225 05 54 67 12 68"",""+225 05 05 05 53 54""]",https://www.goafricaonline.com/ci/631448-veuve-orphelin-organisations-non-gouvernementatles-ong-abidjan-cote-d-ivoire
LAFED ONG (CENTRE DE SECOURS MEDICO-SOCIAL DE MICAO),,,[],https://www.goafricaonline.com/ci/94196-lafed-ong-abidjan-cote-ivoire
LE CLUB CAFE-CACAO DE COTE D'IVOIRE,LE CLUB CAFE-CACAO DE COTE D'IVOIRE est une ONG internationale créée en 1999 à Paris pour faire la promotion du café et du cacao de Côte d'Ivoire. Elle est propriétaire des concepts évènementiels SHOWCOLAT et BOIGNY D'OR pour permettre de valoriser le café et le cacao de Côte d'Ivoire sous toutes ses coutures.,-Abidjan - Côte d’Ivoire,"[""+225 07 87 32 75 55""]",https://www.goafricaonline.com/ci/585453-club-cafe-cacao-ong-abidjan-cote-ivoire
LES FAMILLES ET ENVIRONNEMENT RESTAURES,Agriculture,AkouedoCocody - 09 BP 3329 Abidjan 09Abidjan - Côte d’Ivoire,"[""+225 05 04 85 25 22"",""+225 05 05 74 13 87""]",https://www.goafricaonline.com/ci/64086-familles-environnement-restaures-ong-abidjan-cote-ivoire
LFA (LEVE-TOI FEMME D'AFRIQUE),,,[],https://www.goafricaonline.com/ci/365611-lfa-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
LIDHO (LIGUE IVOIRIENNE DES DROITS DE L'HOMME),LIDHO (LIGUE IVOIRIENNE DES DROITS DE L'HOMME)est une organisation indépendante de tout groupement politique ou confessionnel dont l'objectif général de travailler à l'avènement d'un Etat de droit en Côte d'Ivoire.,,[],https://www.goafricaonline.com/ci/597786-lidho-ong-abidjan-cote-ivoire
LUCODEP CI,Lutte contre la dépigmentation et la surdité précoce,En face de l'école le bélier - CampementKoumassiAbidjan - Côte d’Ivoire,"[""+225 01 02 40 20 51"",""+225 05 05 96 94 87""]",https://www.goafricaonline.com/ci/599929-lucodep-ong-abidjan-cote-ivoire
LYL FOUNDATION,LYL Foundation est une organisation chrétienne œuvrant pour la promotion de  l'Evangile sous toutes ses formes. Elle assure en particulier le développement de l'art chrétien et organise diverses activités d'aide aux personnes en détresse.,Cocody RivieraAbidjan - Côte d’Ivoire,"[""+225 01 52 74 74 53""]",https://www.goafricaonline.com/ci/572165-lyl-foundation-ong-abidjan-cote-ivoire
"LYSD (LEADING YOUTH, SPORT & DEVELOPMENT)",,Quartier Saint JeanCocodyAbidjan - Côte d’Ivoire,"[""+225 05 54 07 29 29""]",https://www.goafricaonline.com/ci/360058-lysd-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
MACI-CANADA (MISSIONS ACTION CHARITE INTERNATIONAL),,Rue Ministre - Riviera PalmeraieCocody - 01 BP 10076 Abidjan 01Abidjan - Côte d’Ivoire,"[""+225 27 22 49 83 83"",""+225 27 22 49 17 69"",""+225 27 22 49 17 70"",""+225 05 06 11 83 83""]",https://www.goafricaonline.com/ci/107610-maci-canada-ong-abidjan-cote-d-ivoire
MAISON-PAD (MAISON POUR UN AUTRE DEVELOPPEMENT),MAISON-PAD est une ONG qui se propose de lutter contre la pauvreté.,"Axe Bouaké-Sakassou, N'Guessan-Pokokro01 BP 145 Bouaké 01Sakassou - Côte d’Ivoire","[""+225 07 89 42 98 57"",""+225 07 89 42 98 56""]",https://www.goafricaonline.com/ci/490258-maison-pad-organisations-non-gouvernementales-ong-sakassou-cote-ivoire
MBC COTE D'IVOIRE (MOBILE BUSINESS CLINIC),ong qui regroupe toutes les pme dans le secteur agricole,,[],https://www.goafricaonline.com/ci/362022-mbc-ong-abidjan-cote-ivoire
MESSAD (MOUVEMENT POUR L'EDUCATION LA SANTE ET LE DEVELOPPEMENT),,Notre DameTreichville - 18 BP 3065 Abidjan 18Abidjan - Côte d’Ivoire,"[""+225 27 21 35 16 61"",""+225 05 05 00 52 82""]",https://www.goafricaonline.com/ci/99136-messad-organisations-non-gouvernementales-abidjan-cote-ivoire
MIAGNON ONG,L’ONG MIAGNON a pour mission de répondre aux besoins des personnes vulnérables afin de créer un équilibre Sociale dans notre chère patrie la COTE D’IVOIRE. Aussi de prôner au succès scolaire des Orphelins,Au feu du nouveau camp - AkouedoCocody - 17 BP 855 Abidjan 17Abidjan - Côte d’Ivoire,"[""+225 27 22 45 09 65"",""+225 07 87 94 24 40""]",https://www.goafricaonline.com/ci/586261-miagnon-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
MIC-CI,,Non loin de Pharmacie les Perles - Deux-plateaux - AghienCocodyAbidjan - Côte d’Ivoire,"[""+225 07 48 20 35 99""]",https://www.goafricaonline.com/ci/200492-mic-ong-abidjan-cote-ivoire
MISSIONNAIRES DE LA CHARITE,Accueil les malades et les pauvres,,[],https://www.goafricaonline.com/ci/60977-missionnaires-charite-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
MOUVEMENT HUMANISTE DE COTE D'IVOIRE,,Après Cercle du RailPlateau - 14 BP 2855 Abidjan 14Abidjan - Côte d’Ivoire,"[""+225 27 20 21 97 41""]",https://www.goafricaonline.com/ci/61072-mouvement-humaniste-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
MRCCI (MOUVEMENT POUR LA REVALORISATION DU COMMERCE EN COTE D'IVOIRE),,En face Groupe scolaire Offoumou Yapo - Toits rougesYopougonAbidjan - Côte d’Ivoire,"[""+225 27 23 45 00 61"",""+225 07 59 09 34 33"",""+225 01 42 51 85 07"",""+225 07 71 32 70 22""]",https://www.goafricaonline.com/ci/596454-mrcci-organisation-non-gouvernementales-abidjan-cote-ivoire
MSF BELGIQUE (MEDECINS SANS FRONTIERE BELGIQUE),"Appui aux centres de Santé; Apport en
médicaments et vaccins.","Rue Paul Langevin, immeuble centre pavillon 1 au 5eme étageMarcory - 11 BP 2852 Abidjan 11Abidjan - Côte d’Ivoire","[""+225 27 21 35 03 13""]",https://www.goafricaonline.com/ci/76559-msf-belgique-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
N.A.P.D (NEVER ALONE PRINCIPLE DEFENDERS),Spécialisé dans le domaine sanitaire,Quartier Nord-Est - AklomiablaKoumassiAbidjan - Côte d’Ivoire,"[""+225 07 09 28 58 46"",""+225 05 55 35 99 69""]",https://www.goafricaonline.com/ci/105493-napd-organisations-non-gouvernementales-abidjan-cote-ivoire
NDI (INSTITUT NATIONAL DEMOCRATIQUE),"Démocratie,
questions électorales",,[],https://www.goafricaonline.com/ci/76782-ndi-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
OCHA-CI,,,[],https://www.goafricaonline.com/ci/293101-ocha-ci-ong-abidjan
OFACI (ORGANISATION FEMME EN ACTION DE COTE D'IVOIRE),"Femme, Enfants et Famille",Imm. c2 3ème étage porte 38 - 80 logementsAdjamé - 03 BP 117 Abidjan 03Abidjan - Côte d’Ivoire,"[""+225 27 20 37 58 37""]",https://www.goafricaonline.com/ci/76487-ofaci-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
OGRADIE-BINGERVILLE,"OGRADIE vise le développement durable à travers l’amélioration des conditions de vie des enfants, des adolescentes et jeunes filles et des communautés les plus vulnérables pour une génération sans sida. 
OGRADIE les aide à réaliser leur potentiel et travaille à inspirer des changements immédiats et durables dans leurs vies par la mise en oeuvre de programmes de santé, nutrition, éducation, protection et droits de l'enfant.","Cité laurier 20, quartier marchouxBingerville - Côte d’Ivoire","[""+225 07 57 01 20 93""]",https://www.goafricaonline.com/ci/657001-ogradie-bingerville-bingerville-cote-d-ivoire
OIC-CI (OPPORTUNITIES INDUSTRILISATION CENTER),,Non loin de la Pharmacie Hibiscus - SicogiMarcoryAbidjan - Côte d’Ivoire,"[""+225 27 21 28 46 42"",""+225 27 21 26 74 87""]",https://www.goafricaonline.com/ci/94094-oic-ci-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
OIS AFRIQUE (ORGANISATION POUR LES DROITS ET LA SOLIDARITE EN AFRIQUE),"Une Organisation humanitaire, promotion de la paix, la cohésion sociale et le vivre ensemble","Air france 2, Carrefour de la flotte.01 2019Bouaké - Côte d’Ivoire","[""+225 27 31 60 02 14"",""+225 05 04 39 83 30"",""+225 01 01 95 61 20""]",https://www.goafricaonline.com/ci/591412-ois-afrique-organisations-non-gouvernementale-bouake-cote-ivoire
OLCAP-CI,,"Treichville, AbidjanTreichvilleAbidjan - Côte d’Ivoire","[""+225 01 51 46 47 29""]",https://www.goafricaonline.com/ci/1049920-olcap-ci-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
ONEF (ORGANISATION INTERNATIONALE POUR L'ENFANT LA FEMME ET LA FAMILLE),"Conditions de vie de la Femme, de l'Enfant","carrefour de la station Oilybia, A gauche 1er Parking couvert, villa N°281, Imm. Addad, II Plateaux SICOGI - Deux-plateaux - SOCOCECocody - 22 BP 1316 Abidjan 22Abidjan - Côte d’Ivoire","[""+225 27 22 41 54 83"",""+225 27 22 44 36 14"",""+225 07 07 73 34 56""]",https://www.goafricaonline.com/ci/76141-onef-organisation-non-gourvernementales-abidjan-cote-ivoire
ONG ABBA PERE,L’ONG ABP a pour mission de donner un cadre de vie idéal aux enfants démunis âgé de 0 à 20 ans en vue d’un épanouissement essentiel ; et de venir en aide aux femmes en difficulté et aux mamans veuves éprouvées de toute sorte  de souffrance notamment de drames et ces tragédies vécus par la plupart d’entre elles.,"Immeuble XL, en face du stade FHBPlateauAbidjan - Côte d’Ivoire","[""+225 27 20 30 76 03"",""+225 07 09 61 95 33""]",https://www.goafricaonline.com/ci/568354-abba-pere-organisation-non-gouvernementale-abidjan-cote-ivoire
ONG ACCROSS THE WORLD,"PRÉSENTATION	DE	L'ONG	ACROSS	THE	WORLD
L'ONG	 ACCROSS	 THE	WORLD (ATW) est une organisation non gouvernementale créée à Abidjan en juillet  2019 par un groupe de	 jeunes	 ex-migrants. 
Pour se faire,	ATW a	trois missions principales :
I. Sensibiliser	 et	 informer	 sur	 les	 enjeux	 migratoires
II. Soutenir	 le	 développement	 et	 la	 formation	 des	 personnes	 africaines en Afrique 
III. Dénoncer	les	abus	et	violations	aux	droits	des	migrants.",Quartier DivoKoumassi - 10 BP 1323 ABIDJAN 10Abidjan - 1323 - Côte d’Ivoire,"[""+225 05 66 22 11 09"",""+225 05 02 05 73 00""]",https://www.goafricaonline.com/ci/837522-ong-accross-the-world-organisation-non-gouvernementales-ong-abidjan-cote-ivoire
ONG ACDR (ASSISTANCE COMMUNAUTAIRE POUR LE DIALOGUE RECONCILIATION),,,[],https://www.goafricaonline.com/ci/98465-acdr-ong-abidjan-cote-ivoire
ONG ACTION ESPOIR,,,[],https://www.goafricaonline.com/ci/101412-ong-action-espoir-bouake-cote-ivoire
ONG ACTION PLURIEL,,,[],https://www.goafricaonline.com/ci/598643-action-pluriel-ong-abidjan-cote-ivoire
ONG ACTION SANTE,"Hypertension artérielle, diabète, obésité...",Carrefour Milieu - AnoumaboMarcoryAbidjan - Côte d’Ivoire,"[""+225 25 21 00 51 83"",""+225 07 09 14 98 55"",""+225 07 07 08 17 90""]",https://www.goafricaonline.com/ci/106502-ong-action-sante-abidjan-cote-ivoire
ONG ADN INTERNATIONAL,,"Rue des Jardins, A coté de Indian Bazar - Deux-plateaux - VallonCocody - 01 BP 5325 Abidjan 01Abidjan - Côte d’Ivoire","[""+225 27 22 41 24 49"",""+225 27 22 41 24 28""]",https://www.goafricaonline.com/ci/90334-ong-adn-international-abidjan-cote-ivoire
ONG AFAMAH,,Non loin de la Pharmacie Fanny - AklomiablaKoumassiAbidjan - Côte d’Ivoire,"[""+225 27 21 36 24 39""]",https://www.goafricaonline.com/ci/93480-ong-afamah-organisations-non-gouvernementales-abidjan-cote-ivoire
